,Actual,Predicted_LSTM,Predicted_GRU
0,301.18007700472106,300.87238,301.34348
1,301.65366195468806,301.46533,302.1145
2,301.9273587244441,302.50894,302.7808
3,300.6943922859761,301.44568,301.73203
4,301.4989193562063,302.28665,302.87408
5,303.36680099501325,303.55106,304.62558
6,304.9092526304449,304.8106,306.25583
7,306.5706315487757,306.32666,308.2635
8,306.8823215924944,307.22977,308.99228
9,307.10974346876884,307.54642,309.1162
10,310.2447397823726,310.1753,312.25165
11,307.52605617985375,309.4764,310.31693
12,309.22268575789093,311.0073,312.05798
13,310.09661172415605,312.19687,312.97766
14,312.07793541734964,314.1684,315.0614
15,307.7314564769524,310.78497,311.0709
16,305.326103109031,308.1237,308.13028
17,303.14599365900403,306.35806,305.9044
18,306.41755602954765,309.3687,309.50192
19,305.9401260419468,309.68112,309.09262
20,298.85788938086637,303.5703,301.40433
21,297.32097675069747,302.03915,299.25854
22,300.6184057380508,305.1547,302.2841
23,300.8629017324896,305.17145,302.02713
24,299.3705700281735,303.76846,299.78714
25,304.0986487874507,306.7936,304.01807
26,299.9344730299738,302.8337,298.56165
27,294.4211192770109,297.537,292.32593
28,285.5976721120405,288.39407,282.44608
29,288.5547749362341,292.2309,285.55493
30,286.3229053642128,290.48196,283.15387
31,292.9205328415508,296.43723,289.27728
32,294.28896291358114,298.4158,291.1437
33,294.30162733823533,298.6402,291.0997
34,299.25989747641825,303.08054,295.63245
35,300.40418605393177,304.56415,296.63446
36,305.250681216982,308.99026,300.47528
37,305.8580627212575,310.2629,301.09756
38,308.8317018961143,312.9198,303.53796
39,308.2188082749511,311.714,302.85422
40,309.5255564145892,313.07184,304.4664
41,306.76062480696373,310.50208,301.71936
42,310.2832708238364,314.34106,305.53458
43,309.30472219020504,313.49817,304.65683
44,309.7981238725928,313.84085,305.44226
45,307.94677858444885,311.63467,303.36835
46,307.9346519272959,312.26453,303.6852
47,311.04265231233745,314.19052,306.55667
48,304.46376603241765,306.8453,299.06342
49,303.9758495785426,305.81955,298.42203
50,303.0584451098022,305.74286,297.95728
51,297.8275806252407,301.25302,292.18655
52,301.27644494094324,303.79782,295.5998
53,302.62395585717536,305.39487,296.6153
54,305.8514481809924,308.6866,300.32205
55,308.1438972620284,311.27383,302.79105
56,309.81025052974576,313.92398,304.58914
57,310.1995673122684,313.97217,304.72675
58,310.2816306329577,315.08936,304.96072
59,309.3829135848854,314.06754,303.68085
60,314.63526188112144,319.12115,308.6906
61,314.0245462183382,318.29828,307.6984
62,314.9067269157473,318.4876,308.3995
63,315.6975140263207,319.44754,309.60052
64,315.1099223660908,318.96143,309.2069
65,316.3825491577753,319.77393,310.40875
66,315.9860531791111,319.16336,309.89688
67,317.32474470832284,320.03635,310.9457
68,314.3659748048754,317.0894,308.61633
69,314.40948019572573,317.18167,309.0554
70,313.88082785363173,316.14618,308.3828
71,316.696417159874,318.2904,311.15857
72,313.66055828512384,315.55106,308.41382
73,316.6997244300066,317.36285,311.2997
74,318.9525400462012,318.71344,313.4069
75,318.29226910817874,318.29916,312.8471
76,320.21852540924533,319.91638,314.77777
77,322.6866631329364,321.91516,317.13885
78,320.2311898338995,320.9696,315.1547
79,321.7295983109796,322.23102,316.6295
80,321.67453091885267,322.20752,316.62747
81,322.9520782831735,323.27155,317.89172
82,322.36341108794113,322.57776,317.56778
83,322.21033556871316,322.6095,317.58606
84,319.24879616263433,320.2744,314.72385
85,319.933831294089,320.8971,315.62952
86,319.83802801374304,320.4922,315.64682
87,320.6860604748234,321.64395,316.5709
88,321.20368858314197,322.58505,317.5368
89,320.14364128469765,321.6422,316.73853
90,314.18426316620634,316.61646,310.83902
91,315.4700652616712,317.824,312.3896
92,314.5829371032507,317.51474,311.46964
93,318.44149958977283,320.4897,314.96893
94,326.49677276759695,326.58484,321.6318
95,328.92304529131655,329.015,323.87656
96,330.1587543440409,329.8087,324.41748
97,330.4786991189036,330.69766,324.20688
98,329.5227367203243,329.85403,323.18076
99,329.59926103575077,329.89163,322.8613
100,327.60527291790294,328.89502,321.2496
101,323.27974002167895,325.08936,316.7484
102,324.5462900405994,326.2325,318.12976
103,325.8326567919405,327.5782,319.73965
104,325.839809099707,327.43195,319.32614
105,327.57994406859444,328.7088,320.71497
106,328.71597791496396,330.83264,322.07156
107,329.7088580525034,332.8071,322.93048
108,331.5954540003535,334.53833,324.71036
109,330.3349807541971,333.87958,323.50266
110,332.18742846571854,335.2338,325.08362
111,333.00077492296896,336.66165,326.34967
112,333.1511078279406,337.24963,326.59354
113,335.16714441333926,339.2443,328.79684
114,334.54045705576925,338.76517,328.3081
115,335.3752873246942,339.9706,329.05176
116,333.3146698134428,338.80435,327.71338
117,332.32676402528983,338.27966,327.0359
118,335.0404732784222,340.42725,329.6552
119,333.22655660836466,339.25497,327.99612
120,333.2177372213443,338.64633,327.4358
121,334.4837494727635,340.01663,329.11035
122,333.19130594865834,339.0666,327.7459
123,323.3645459566245,329.85294,318.43094
124,323.08479930247944,329.78415,318.13638
125,326.5964479739516,333.30356,322.17517
126,328.9764456041895,335.13675,324.43384
127,332.6092532936912,338.12628,328.0337
128,332.4743274276301,338.4101,328.0216
129,328.79857900315443,336.11588,324.71774
130,325.27977802391564,333.8886,321.43433
131,323.8860191025769,332.88275,319.68808
132,323.165733311416,331.82074,318.41608
133,327.2363375236771,334.87277,322.94803
134,329.0485871144809,336.4024,325.07538
135,325.394860269181,334.17636,321.59518
136,325.90259345547673,334.30414,322.14893
137,320.8798987706452,330.9993,317.5798
138,321.3854271101859,331.0406,317.69485
139,321.7538247369103,331.93707,318.41476
140,327.64603569449673,337.02545,324.42813
141,326.9538213669006,336.09552,323.5395
142,330.22043627643285,338.3893,326.39615
143,333.1158840566093,340.32922,329.0279
144,335.1605298730739,342.4689,331.31912
145,336.9414007301803,343.5163,332.8423
146,335.9793884472121,343.01776,332.10626
147,331.08056850629123,339.63513,327.22452
148,334.1324259642033,342.96097,331.32407
149,332.56905517297344,342.37646,330.20416
150,334.3234947573939,342.84216,331.32953
151,332.6362223338783,341.74387,330.16412
152,330.1053271427925,338.8762,327.36258
153,332.49029912241684,341.36475,330.45374
154,333.78989495428857,342.76093,332.1974
155,335.00632504209347,343.61697,333.43423
156,331.83556718965724,340.93326,330.58533
157,334.06302706816837,342.5746,332.92236
158,334.1764691225549,342.61975,332.686
159,333.26621696158105,342.13196,332.00928
160,336.7409478940932,344.70096,335.52982
161,336.7167214681624,345.07425,335.32742
162,337.53998973581076,345.48108,335.9216
163,338.3423119592858,346.0223,336.84048
164,336.8758737601545,345.26743,335.6586
165,331.12738116727445,340.5392,330.26425
166,329.48197394373034,338.7572,328.37558
167,327.94008696417507,337.0156,326.48038
168,327.9846947784029,337.37872,327.06436
169,322.7813639899049,333.47662,321.53763
170,327.89878642007983,336.7538,326.0744
171,322.12883690390026,331.54797,319.43567
172,318.1876464408125,329.49875,315.99503
173,321.738390809625,332.7185,319.604
174,316.0053321440305,328.44833,313.58246
175,317.7498768064281,330.05734,315.8063
176,309.1791803670405,322.0071,306.55515
177,306.83935396914524,320.85843,304.552
178,308.3388379812278,322.6597,307.08905
179,304.05570805247663,318.8865,302.60147
180,310.5217169338862,325.85052,309.2223
181,312.5140648608552,327.9638,311.57547
182,309.1846924839282,325.14166,308.18604
183,312.52342201537675,328.6464,312.18573
184,311.8405917306772,328.37567,311.4956
185,312.0977521497702,329.44553,312.03894
186,317.60502912996907,333.969,317.57544
187,318.105045352622,335.2825,319.03522
188,314.55596806306346,332.5354,315.55777
189,313.5157374970398,331.79123,314.6031
190,307.3278081905215,325.97235,308.22977
191,309.02994988544634,326.66623,310.038
192,310.1984648888908,328.31158,311.80966
193,312.2855405612032,330.86624,314.78952
194,297.17228403660454,313.31473,299.37018
195,279.4163573457874,297.24274,283.43503
196,278.7649057947852,295.62903,282.20053
197,274.38815054406814,291.04053,278.30777
198,300.49724672002134,312.78134,297.69098
199,290.0977643391669,305.51764,290.5611
200,295.346240709394,314.71298,297.8912
201,297.6926816475545,318.75705,300.83102
202,297.17833392099345,318.27567,301.35336
203,290.5190513996383,313.89297,295.35388
